time,pressure,temp,depth
2023-12-13 12:51:26.543549,1009.7,23.6,-0.03
2023-12-13 12:51:26.836526,1010.0,23.6,-0.03
2023-12-13 12:51:27.128559,1009.2,23.6,-0.04
2023-12-13 12:51:27.421557,1009.9,23.6,-0.03
2023-12-13 12:51:27.713393,1009.9,23.6,-0.03
2023-12-13 12:51:28.006938,1009.5,23.6,-0.04
2023-12-13 12:51:28.298551,1010.0,23.6,-0.03
2023-12-13 12:51:28.590548,1009.7,23.6,-0.03
2023-12-13 12:51:28.883695,1010.0,23.6,-0.03
2023-12-13 12:51:29.175525,1009.2,23.6,-0.04
2023-12-13 12:51:29.468359,1009.7,23.6,-0.03
2023-12-13 12:51:29.775566,1009.7,23.6,-0.03
2023-12-13 12:51:30.053527,1009.4,23.6,-0.04
2023-12-13 12:51:30.345803,1009.5,23.6,-0.04
2023-12-13 12:51:30.638949,1009.8,23.6,-0.03
2023-12-13 12:51:30.930553,1009.6,23.6,-0.03
2023-12-13 12:51:31.222052,1010.0,23.6,-0.03
2023-12-13 12:51:31.514932,1010.0,23.6,-0.03
2023-12-13 12:51:31.808415,1009.8,23.6,-0.03
2023-12-13 12:51:32.099741,1009.8,23.6,-0.03
2023-12-13 12:51:32.392249,1009.4,23.6,-0.04
2023-12-13 12:51:32.685873,1009.8,23.6,-0.03
2023-12-13 12:51:32.978169,1009.5,23.6,-0.04
2023-12-13 12:51:33.270582,1009.4,23.6,-0.04
2023-12-13 12:51:33.563280,1009.7,23.6,-0.03
2023-12-13 12:51:33.855009,1009.8,23.6,-0.03
2023-12-13 12:51:34.147683,1010.0,23.6,-0.03
2023-12-13 12:51:34.440571,1009.6,23.6,-0.03
2023-12-13 12:51:34.731985,1010.0,23.6,-0.03
2023-12-13 12:51:35.026079,1010.0,23.6,-0.03
2023-12-13 12:51:35.317198,1010.0,23.6,-0.03
2023-12-13 12:51:35.609541,1010.3,23.6,-0.03
2023-12-13 12:51:35.901665,1009.6,23.6,-0.03
2023-12-13 12:51:36.195457,1009.7,23.6,-0.03
2023-12-13 12:51:36.486729,1009.9,23.6,-0.03
2023-12-13 12:51:36.779546,1010.1,23.6,-0.03
2023-12-13 12:51:37.072536,1009.6,23.6,-0.03
2023-12-13 12:51:37.364580,1010.0,23.6,-0.03
2023-12-13 12:51:37.657307,1010.0,23.6,-0.03
2023-12-13 12:51:37.950172,1009.6,23.6,-0.03
2023-12-13 12:51:38.242099,1010.1,23.6,-0.03
2023-12-13 12:51:38.533893,1009.7,23.6,-0.03
2023-12-13 12:51:38.826405,1009.7,23.6,-0.03
2023-12-13 12:51:39.119575,1009.8,23.6,-0.03
2023-12-13 12:51:39.411389,1010.0,23.6,-0.03
2023-12-13 12:51:39.704829,1010.2,23.6,-0.03
2023-12-13 12:51:39.997200,1009.8,23.59,-0.03
2023-12-13 12:51:40.290379,1009.6,23.6,-0.03
2023-12-13 12:51:40.581504,1009.8,23.6,-0.03
2023-12-13 12:51:40.874882,1009.7,23.6,-0.03
2023-12-13 12:51:41.167990,1009.8,23.6,-0.03
2023-12-13 12:51:41.458978,1009.5,23.6,-0.04
2023-12-13 12:51:41.752382,1009.8,23.6,-0.03
2023-12-13 12:51:42.045167,1009.5,23.6,-0.04
2023-12-13 12:51:42.346169,1009.5,23.6,-0.04
2023-12-13 12:51:42.629533,1010.0,23.6,-0.03
2023-12-13 12:51:42.923392,1010.3,23.6,-0.03
2023-12-13 12:51:43.214224,1009.8,23.6,-0.03
2023-12-13 12:51:43.507641,1009.7,23.6,-0.03
2023-12-13 12:51:43.799710,1009.7,23.6,-0.03
2023-12-13 12:51:44.091506,1010.1,23.6,-0.03
2023-12-13 12:51:44.384336,1010.1,23.6,-0.03
2023-12-13 12:51:44.677496,1009.5,23.6,-0.04
2023-12-13 12:51:44.969508,1009.9,23.6,-0.03
2023-12-13 12:51:45.261538,1009.6,23.59,-0.03
2023-12-13 12:51:45.553922,1009.9,23.6,-0.03
2023-12-13 12:51:45.846612,1010.2,23.59,-0.03
2023-12-13 12:51:46.139374,1009.1,23.59,-0.04
2023-12-13 12:51:46.431802,1010.2,23.59,-0.03
2023-12-13 12:51:46.723927,1010.0,23.59,-0.03
2023-12-13 12:51:47.015803,1009.6,23.6,-0.03
2023-12-13 12:51:47.309515,1009.8,23.59,-0.03
2023-12-13 12:51:47.601546,1010.0,23.59,-0.03
2023-12-13 12:51:47.894218,1009.9,23.59,-0.03
2023-12-13 12:51:48.186390,1009.7,23.59,-0.03
2023-12-13 12:51:48.478975,1009.6,23.59,-0.03
2023-12-13 12:51:48.772170,1010.2,23.59,-0.03
2023-12-13 12:51:49.063429,1009.8,23.59,-0.03
2023-12-13 12:51:49.355943,1010.2,23.59,-0.03
2023-12-13 12:51:49.649180,1009.9,23.59,-0.03
2023-12-13 12:51:49.940984,1010.1,23.59,-0.03
2023-12-13 12:51:50.233552,1010.3,23.59,-0.03
2023-12-13 12:51:50.525530,1010.0,23.59,-0.03
2023-12-13 12:51:50.819408,1010.1,23.59,-0.03
2023-12-13 12:51:51.111522,1010.0,23.59,-0.03
2023-12-13 12:51:51.404188,1010.0,23.59,-0.03
2023-12-13 12:51:51.695865,1010.2,23.59,-0.03
2023-12-13 12:51:51.987965,1009.6,23.59,-0.03
2023-12-13 12:51:52.282685,1009.8,23.59,-0.03
2023-12-13 12:51:52.572432,1009.5,23.59,-0.04
2023-12-13 12:51:52.866637,1010.2,23.59,-0.03
2023-12-13 12:51:53.158573,1009.3,23.59,-0.04
2023-12-13 12:51:53.450505,1010.1,23.59,-0.03
2023-12-13 12:51:53.742516,1009.9,23.59,-0.03
2023-12-13 12:51:54.035212,1009.8,23.59,-0.03
2023-12-13 12:51:54.327082,1010.0,23.59,-0.03
2023-12-13 12:51:54.620399,1009.9,23.59,-0.03
2023-12-13 12:51:54.914558,1010.0,23.59,-0.03
2023-12-13 12:51:55.204780,1009.7,23.59,-0.03
2023-12-13 12:51:55.497661,1009.7,23.59,-0.03
2023-12-13 12:51:55.789554,1010.3,23.59,-0.03
2023-12-13 12:51:56.081950,1009.8,23.59,-0.03
2023-12-13 12:51:56.375196,1009.6,23.59,-0.03
2023-12-13 12:51:56.667224,1009.3,23.59,-0.04
